# year,price,cluster
6.534340502552489216e-01,-7.267539410251278205e-03,0.000000000000000000e+00
7.798396752484932914e-01,-5.702546887199513685e-03,0.000000000000000000e+00
7.798396752484932914e-01,-9.504956854093011762e-03,0.000000000000000000e+00
-2.253895324589371807e+00,-6.901634680829439941e-03,1.000000000000000000e+00
0.000000000000000000e+00,-5.222671832220053198e-03,0.000000000000000000e+00
9.062453002417376613e-01,-5.942484414689243495e-03,0.000000000000000000e+00
0.000000000000000000e+00,-5.222671832220053198e-03,0.000000000000000000e+00
0.000000000000000000e+00,-3.303171612302212984e-03,0.000000000000000000e+00
6.534340502552489216e-01,-7.204435840521479159e-03,0.000000000000000000e+00
1.478115502822713867e-01,-7.681431645171062257e-03,0.000000000000000000e+00
7.798396752484932914e-01,-8.644180974223604139e-03,0.000000000000000000e+00
1.032650925234982031e+00,-8.644180974223604139e-03,0.000000000000000000e+00
-1.369055949636661218e+00,-1.002142238201465460e-02,1.000000000000000000e+00
6.534340502552489216e-01,-6.313787738479600779e-03,0.000000000000000000e+00
1.032650925234982031e+00,-7.924368391754414709e-03,0.000000000000000000e+00
9.062453002417376613e-01,-8.764029769204723791e-03,0.000000000000000000e+00
4.006228002687601264e-01,-7.706025241738760113e-03,0.000000000000000000e+00
7.798396752484932914e-01,-1.745775280067246715e-18,0.000000000000000000e+00
7.798396752484932914e-01,-1.745775280067246715e-18,0.000000000000000000e+00
5.270284252620045518e-01,-7.111819954910443380e-03,0.000000000000000000e+00
2.140592528902700645e-02,-7.645441016047602699e-03,0.000000000000000000e+00
-7.370278246704392577e-01,-7.141572208319169751e-03,1.000000000000000000e+00
5.270284252620045518e-01,-8.581797217076274006e-03,0.000000000000000000e+00
5.270284252620045518e-01,-9.235027135667064208e-03,0.000000000000000000e+00
9.062453002417376613e-01,-5.942484414689243495e-03,0.000000000000000000e+00
6.534340502552489216e-01,-8.221411050786699148e-03,0.000000000000000000e+00
7.798396752484932914e-01,-9.035563998774227530e-04,0.000000000000000000e+00
4.006228002687601264e-01,-8.221411050786699148e-03,0.000000000000000000e+00
0.000000000000000000e+00,-5.102703068475188293e-03,0.000000000000000000e+00
-9.459015949204301776e+00,-6.427758064037223003e-03,2.000000000000000000e+00
-7.370278246704392577e-01,-1.020077568381322873e-02,1.000000000000000000e+00
1.159056550228226401e+00,-2.282837276652135896e-03,0.000000000000000000e+00
4.006228002687601264e-01,-7.742015870862219672e-03,0.000000000000000000e+00
7.798396752484932914e-01,-7.034200164767515605e-03,0.000000000000000000e+00
9.062453002417376613e-01,2.156006981907870358e-03,0.000000000000000000e+00
2.140592528902700645e-02,-3.902775493499048738e-03,0.000000000000000000e+00
2.742171752755157565e-01,-6.901754649593184326e-03,0.000000000000000000e+00
-2.314053246974617506e-01,-8.725759733570112239e-03,1.000000000000000000e+00
5.270284252620045518e-01,-6.062453178434109267e-03,0.000000000000000000e+00
5.270284252620045518e-01,-9.426977157658849096e-03,0.000000000000000000e+00
-4.842165746839505180e-01,-8.521212991385118327e-03,1.000000000000000000e+00
6.534340502552489216e-01,-6.062453178434109267e-03,0.000000000000000000e+00
2.140592528902700645e-02,-7.537469128677224024e-03,0.000000000000000000e+00
2.140592528902700645e-02,-8.713163013376901481e-03,0.000000000000000000e+00
1.478115502822713867e-01,-6.316666988809478168e-03,0.000000000000000000e+00
1.159056550228226401e+00,-9.001687890183301607e-03,0.000000000000000000e+00
7.798396752484932914e-01,-6.544727608688466133e-03,0.000000000000000000e+00
1.032650925234982031e+00,-9.721500472652492772e-03,0.000000000000000000e+00
7.798396752484932914e-01,-6.755152820296959210e-03,0.000000000000000000e+00
-2.314053246974617506e-01,-8.161426668914267130e-03,1.000000000000000000e+00
5.270284252620045518e-01,-1.745775280067246715e-18,0.000000000000000000e+00
1.478115502822713867e-01,-8.824014151077157544e-03,0.000000000000000000e+00
7.798396752484932914e-01,-9.841469236397356810e-03,0.000000000000000000e+00
-6.106221996771948879e-01,-9.481083070107781952e-03,1.000000000000000000e+00
-7.370278246704392577e-01,-7.861504759552105301e-03,1.000000000000000000e+00
0.000000000000000000e+00,-5.942484414689243495e-03,0.000000000000000000e+00
7.798396752484932914e-01,-1.745775280067246715e-18,0.000000000000000000e+00
9.062453002417376613e-01,-9.601531708907627000e-03,0.000000000000000000e+00
1.159056550228226401e+00,-7.267539410251278205e-03,0.000000000000000000e+00
2.140592528902700645e-02,-9.661516090780059018e-03,0.000000000000000000e+00
5.270284252620045518e-01,-9.541547327035194981e-03,0.000000000000000000e+00
-7.370278246704392577e-01,-1.023076787474944474e-02,1.000000000000000000e+00
0.000000000000000000e+00,-3.303171612302212984e-03,0.000000000000000000e+00
-4.842165746839505180e-01,-1.016478505468976917e-02,1.000000000000000000e+00
6.534340502552489216e-01,-9.841469236397356810e-03,0.000000000000000000e+00
1.159056550228226401e+00,-9.421578563290329209e-03,0.000000000000000000e+00
1.159056550228226401e+00,-9.541547327035194981e-03,0.000000000000000000e+00
9.062453002417376613e-01,-1.011079911100457897e-02,0.000000000000000000e+00
-7.370278246704392577e-01,-8.524092241714993981e-03,1.000000000000000000e+00
-7.370278246704392577e-01,-9.684909999710307818e-03,1.000000000000000000e+00
1.159056550228226401e+00,-8.725159889751388578e-03,0.000000000000000000e+00
1.159056550228226401e+00,-9.421578563290329209e-03,0.000000000000000000e+00
9.062453002417376613e-01,-9.661516090780059018e-03,0.000000000000000000e+00
5.270284252620045518e-01,-8.881719126438437570e-03,0.000000000000000000e+00
