# model,cylinder,fuel,transmission,type,Y_test,Y_pred
1.105161327944200744e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.238175085706618717e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
-3.820741152013851227e-01,1.104850881459847667e+00,-3.038805715977164645e+00,-2.589738856222238983e+00,4.595018940363954085e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.533376031262617123e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.115765801747868879e-01,3.107861666000752976e-01,1.461034881564278742e-01,-4.015814401448319915e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-5.302236901834042658e-04,3.107861666000752976e-01,1.461034881564278742e-01,5.392916433032833856e-01,-2.695976908597011446e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.733501342954009372e+00,1.104850881459847667e+00,3.331012692290019839e+00,-2.589738796929716091e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.624353214785382082e+00,4.609792831348476227e-02,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.621427178836357785e-01,1.104850881459847667e+00,-3.038805715977164645e+00,-2.589738856222238983e+00,2.164686990710298908e-01,0.000000000000000000e+00,0.000000000000000000e+00
-7.379919244469090867e-01,8.070766133874329729e-01,1.461034881564278742e-01,-4.015830508820750211e-02,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.657572210314964378e+00,3.107861666000752976e-01,1.461034881564278742e-01,-3.029859056324289701e-02,-1.484763665686528844e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.021777057685340218e+00,4.609792831348476227e-02,3.331012692290019839e+00,1.234631634577518344e+00,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
-9.259165277285457130e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015839938098588607e-02,7.025350890017609817e-01,0.000000000000000000e+00,1.000000000000000000e+00
8.011803731709172052e-03,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631773880441319e+00,-1.484763665686528844e+00,0.000000000000000000e+00,1.000000000000000000e+00
