# model,cylinder,fuel,transmission,type,Y_train
1.700282347424427076e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00
-1.472606282729670646e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00
9.618715325097134672e-01,1.104850881459847667e+00,1.461034881564278742e-01,-2.589735031855433078e+00,6.215240240133056426e-01,0.000000000000000000e+00
-1.078723907164623963e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015840074296046780e-02,7.025350890017609817e-01,1.000000000000000000e+00
7.910309840718618979e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631678570233149e+00,-1.484763665686528844e+00,1.000000000000000000e+00
-1.021777057685340218e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,7.025350890017609817e-01,0.000000000000000000e+00
1.040648007622722693e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015907354777514815e-02,9.455682839671264439e-01,0.000000000000000000e+00
-1.235327743232654596e+00,1.104848499268085149e+00,1.461034881564278742e-01,-4.015852030479716284e-02,-1.484763665686528844e+00,0.000000000000000000e+00
-8.727661348812141284e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631773880441319e+00,7.025350890017609817e-01,1.000000000000000000e+00
1.318738455913225582e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,0.000000000000000000e+00
